"HYBRID_ZONE","CLASS","VALUE","UPPER_95","LOWER_95","PARAMETERS","SE","N","LL","UPPER_2LL","LOWER_2LL"
"anatolicus_ivanbureschi","I",0.0266102434708862,0.0324041077001134,0.0208163792416589,"SD",0.00295605317817718,161,63.5560727468623,0.033,0.022
"anatolicus_ivanbureschi","I",0.685996582995871,0.93955730519428,0.432435860797463,"ALPHA",0.129367715407351,161,63.5560727468623,0.9457507,0.4267507
"anatolicus_ivanbureschi","I",-0.264308640887216,0.255293436938339,-0.78391071871277,"BETA",0.265103100931405,161,63.5560727468623,0.26800413,-0.69099587
"anatolicus_ivanbureschi","II",0.0809468361520209,0.098734438820957,0.0631592334830849,"SD",0.00907530748415104,159,-25.7431522169903,0.102,0.066
"anatolicus_ivanbureschi","II",0.87999408812856,1.32223635056242,0.437751825694701,"ALPHA",0.225633807364214,159,-25.7431522169903,0.9995005,0.4415005
"anatolicus_ivanbureschi","II",-0.982450465826082,-0.0761351866756103,-1.88876574497655,"BETA",0.462405754668608,159,-25.7431522169903,-0.0519999999999999,-1
"cristatus_ivanbureschi","I",0.00890930889872591,0.0108054548143224,0.00701316298312937,"SD",0.000967421385508437,159,150.180503832157,0.011,0.008
"cristatus_ivanbureschi","I",0.605489103736856,0.733349010514329,0.477629196959383,"ALPHA",0.0652346463150371,159,150.180503832157,0.736790485,0.475790485
"cristatus_ivanbureschi","I",-0.228465522344043,0.037243164053715,-0.4941742087418,"BETA",0.135565656325387,159,150.180503832157,0.038833741,-0.504166259
"cristatus_ivanbureschi","II",0.0704413414051147,0.0872249911964908,0.0536576916137385,"SD",0.00856308662825314,148,-13.6728618456929,0.089,0.057
"cristatus_ivanbureschi","II",1,1.37386619629525,0.626133803704747,"ALPHA",0.190748059334313,148,-13.6728618456929,1,0.846
"cristatus_ivanbureschi","II",-1,-0.233160442809388,-1.76683955719061,"BETA",0.391244672036027,148,-13.6728618456929,-0.6,-1
"cristatus_macedonicus","I",0.0350246300050877,0.0427034864726011,0.0273457735375744,"SD",0.00391778391199659,165,42.4267677093153,0.044,0.029
"cristatus_macedonicus","I",-0.251708206142189,0.28107620526485,-0.784492617549227,"ALPHA",0.271828781330122,165,42.4267677093153,-0.05095575,-0.53395575
"cristatus_macedonicus","I",-1,-0.0567679084103203,-1.94323209158968,"BETA",0.481240863055959,165,42.4267677093153,-0.57,-1
"cristatus_macedonicus","II",0.0204244891134151,0.0251158053204844,0.0157331729063458,"SD",0.00239352867707617,144,75.9407316793116,0.026,0.017
"cristatus_macedonicus","II",0.271232081684954,0.672583761537877,-0.130119598167968,"ALPHA",0.204771265231083,144,75.9407316793116,0.4672687,-0.1407313
"cristatus_macedonicus","II",-0.918500218132297,-0.2060991623903,-1.63090127387429,"BETA",0.363469926398978,144,75.9407316793116,-0.188,-1
"ivanbureschi_macedonicus","I",0.0364427505714225,0.0433230117335197,0.0295624894093252,"SD",0.00351033732760062,216,51.2608727078292,0.044,0.031
"ivanbureschi_macedonicus","I",-0.780646785028061,-0.609065795778107,-0.952227774278015,"ALPHA",0.0875413210458948,216,51.2608727078292,-0.617,-0.944
"ivanbureschi_macedonicus","I",-1,-0.674498927606427,-1.32550107239357,"BETA",0.166071975711007,216,51.2608727078292,-0.772,-1
"ivanbureschi_macedonicus","II",0.00628368724692093,0.00743292525869827,0.00513444923514359,"SD",0.000586345924376196,204,229.382481044014,0.007,0.006
"ivanbureschi_macedonicus","II",-0.260441157414567,-0.189058995774408,-0.331823319054726,"ALPHA",0.0364194702245709,204,229.382481044014,-0.195,-0.326
"ivanbureschi_macedonicus","II",1,1.13609841044272,0.863901589557284,"BETA",0.0694379645115898,204,229.382481044014,1,0.913
