"HYBRID_ZONE","LOCALITY","DISTANCE","H_INDEX_I","nSamples_H_I","H_INDEX_II","nSamples_H_II","Q_INDEX_I","nSamples_Q_I","Q_INDEX_II","nSamples_Q_II","genomic","nSamples_genomic"
"bombina_variegataJ","Bahna",1386.4,82.12,5,96.12,5,76.3,5,83.66,5,99.0857142857143,11
"bombina_variegataJ","Baia_de_Arama_1",2035.3,98.4,3,92.9,2,2.5,3,50.3,2,100,3
"bombina_variegataJ","Baia_de_Arama_3",1980.2,100,2,100,2,0.7,2,96.7,2,100,2
"bombina_variegataK","Banica",779.4,48.6,1,100,1,99,1,99,1,100,1
"bombina_variegataK","Bochnia_1",639.5,63.3333333333333,3,26.5333333333333,3,98.7666666666667,3,93.1333333333333,3,97.3666666666667,3
"bombina_variegataK","Bochnia_2",640.7,57.88,5,56,5,98.62,5,98.38,5,97.2111111111111,9
"bombina_variegataK","Bochnia_3",637.6,70.125,4,53.7,4,96.675,4,97.675,4,97.6,4
"bombina_variegataK","Bochnia_4",642.3,63.36,5,66.96,5,98.92,5,97.08,5,97.45,7
"bombina_variegataK","Bochnia_5",633.5,71.6,5,52.22,5,98.7,5,95,6,93.075,8
"bombina_variegataK","Buk",908.6,100,2,100,2,99.5,2,98.65,2,100,2
"bombina_variegataJ","Chernivtsi",1317.6,70.24,5,78,4,81.98,5,15.275,4,94.7,6
"bombina_variegataJ","Chernivtsi_Sadhora_Forest",1300.8,64.56,5,23.66,5,28.32,5,1.64,5,50.8166666666667,6
"bombina_variegataJ","Chervona_Gusarivka",69.8,0,5,0,5,1.34,5,76.16,5,NA,NA
"bombina_variegataJ","Chornivka",1289.4,55.54,5,44.54,5,26.24,5,1.2,5,0.566666666666667,9
"bombina_variegataK","Chrostowa",645.2,74.06,5,81.74,5,97,5,98.42,5,97.22,5
"bombina_variegataK","Cichawka",649.1,99.0333333333333,3,100,3,99.3666666666667,3,98.8,3,98.1666666666667,3
"bombina_variegataK","Cikowice_1",633.5,59.5,2,83.15,2,98.85,2,99.05,2,NA,NA
"bombina_variegataK","Cikowice_2",633.6,64.76,5,79.06,5,98.52,5,95.76,5,NA,NA
"bombina_variegataK","Cikowice_3",633.9,91.7,3,91.7666666666667,3,99.0333333333333,3,98.8,3,NA,NA
"bombina_variegataK","Drwinia",612.2,4.96,5,33.78,5,71.98,5,88.48,5,0.475000000000001,10
"bombina_variegataK","Dwerniczek",937.6,100,1,NA,NA,99.2,1,NA,NA,100,1
"bombina_variegataK","Jankowice",15.2,0,2,1.65,2,22.9,2,98.35,2,0,2
"bombina_variegataK","Kobylec",646.6,82.92,5,83,5,99.18,5,97,5,97.32,5
"bombina_variegataK","Komorowo",0,0,2,24.25,2,12.85,2,78.8,2,0,2
"bombina_variegataK","Kopaliny",640.1,80.96,5,93.96,5,99.22,5,98.94,5,NA,NA
"bombina_variegataK","Kołatka",50.8,0,1,0,1,83.4,1,65.9,1,0,1
"bombina_variegataJ","Krupianske",1311,71.275,4,67.9,3,73.95,4,1.3,4,89.54,10
"bombina_variegataK","Kłaj",627.6,84,2,100,2,99.1,2,98.85,2,NA,NA
"bombina_variegataK","Lipnica_Murowana",656,67.4,5,89.74,5,96.92,5,98.8,5,99.34,6
"bombina_variegataJ","Mala_Buda",1304.3,42.3,1,41.4,1,1.8,1,1.1,1,2.3,1
"bombina_variegataJ","Malyi_Kuchuriv",1297.1,43.45,2,55.1,2,20,2,1.3,2,0.650000000000001,2
"bombina_variegataK","Manasterzec",884.7,100,1,100,1,99.3,1,99,1,100,1
"bombina_variegataK","Olszyny",615.5,12.18,5,22.52,5,91.04,5,81.96,5,0.392307692307692,13
"bombina_variegataK","Pomarzanki",55.6,0,1,0,1,94.1,1,47.5,1,0,1
"bombina_variegataK","Rajbrot",661.2,74.74,5,48.54,5,99.1,5,86.3,5,99.3857142857143,8
"bombina_variegataJ","Shypyntsi",1322.4,46.32,5,58.34,5,24.54,5,1.14,5,1.36,15
"bombina_variegataK","Smerek",918.2,99,2,100,2,99.3,2,95.05,2,100,2
"bombina_variegataK","Sobolów",646.5,81.44,5,87.74,5,99.28,5,98.46,5,97.96,7
"bombina_variegataJ","Svyatogorsk",0,0,5,0,5,1.28,5,66.76,5,0,5
"bombina_variegataK","Teleśnica_Oszwarowa",913.9,54.1,1,NA,NA,95.8,1,NA,NA,100,1
"bombina_variegataJ","Valia_Kuzmyna",1318,83.36,5,61.56,5,91.88,5,7.62,5,92.35,12
"bombina_variegataJ","Zavoloka",1318.9,58.96,5,28.32,5,16.92,5,3.64,5,6.19166666666667,12
"bombina_variegataK","Łosie",755.4,76.5,1,100,1,95.3,1,99.3,1,100,1
"bombina_variegataK","Żegocina",662.7,100,2,100,2,99.55,2,99.2,2,99.35,2
